,entity,true_score,pre_score
0,联诚精密,3,1
1,科创信息,1,1
2,伊戈尔,1,1
3,润都股份,1,1
4,智慧农业,1,1
5,光大证券,0,1
6,ST上普,-2,1
7,上海普天,-4,-2
8,上海普天邮通科技股份有限公司,-1,-1
9,中国国航,1,1
10,南方航空,1,1
11,东方航空,1,1
12,春秋航空,1,1
13,金冠电气,-3,0
14,方直科技,-1,1
15,海南航空,-1,-1
16,雅戈尔,0,0
17,贵州茅台,1,1
18,中国平安,1,1
19,招商证券,0,0
20,国泰君安,0,0
21,东北证券,0,0
22,中信证券,0,0
23,方大炭素,2,1
24,智飞生物,1,1
25,安阳钢铁,1,1
26,南钢股份,1,1
27,诚志股份,3,3
28,索通发展,1,1
29,南洋科技,1,1
30,中来股份,1,1
31,维格娜丝,1,1
32,创业软件,1,1
33,重庆钢铁,1,1
34,金科文化,1,1
35,先导智能,2,2
36,飞凯材料,1,1
37,联得装备,1,1
38,海达股份,1,1
39,旭升股份,1,1
40,澳洋顺昌,1,1
41,三峡新材,1,1
42,天成自控,1,1
43,安徽水利,1,1
44,千禾味业,1,1
45,恒力股份,2,2
46,涪陵榨菜,1,1
47,华泰股份,1,1
48,五洲交通,1,1
49,上海家化,2,1
50,海量数据,1,1
51,海天精工,1,1
52,乐普医疗,3,3
53,长生生物,1,1
54,台基股份,1,1
55,木林森,1,1
56,航天电子,1,1
57,山西证券,0,0
58,桐昆股份,2,1
59,北新建材,1,1
60,安琪酵母,1,1
61,恩华药业,1,1
62,小天鹅,1,1
63,大华股份,1,1
64,东阿阿胶,1,1
65,国海证券,0,0
66,大恒科技,0,0
67,文峰股份,0,0
68,中国平安,1,0
69,平安银行,0,0
70,千山药机,0,1
71,紫鑫药业,0,1
72,康芝药业,0,1
73,泛海控股,0,-1
74,天健集团,0,0
75,沙钢股份,1,2
76,长江证券,0,0
77,兴业证券,0,0
78,国泰君安,0,1
79,国金证券,0,0
80,中信证券,0,0
81,中国平安,1,0
82,长安汽车,1,0
83,泛海控股,1,0
84,华西股份,1,0
85,华谊兄弟,1,0
86,水晶光电,1,0
87,杉杉股份,1,0
88,长园集团,1,0
89,天赐材料,1,0
90,江苏国泰,1,0
91,乐心医疗,0,6
92,时代科技,0,0
93,ST天化,-11,0
94,泸天化,-3,0
95,中百集团,3,0
96,冀东水泥,6,2
97,农业银行,2,0
98,美的电器,2,0
99,工商银行,2,0
100,海螺水泥,2,2
101,信雅达,1,0
102,阳光城,-1,-1
103,兴发集团,-1,0
104,蓝科高新,-1,-1
105,三安光电,-1,0
106,交通银行,0,0
107,中信银行,-1,-1
108,杭州银行,-1,-1
109,光大证券,0,0
110,步长制药,-1,0
111,日月股份,-1,0
112,天能重工,-1,0
113,赛托生物,-1,0
114,三角轮胎,-1,0
115,博迈科,-1,0
116,恒林股份,-1,0
117,华达科技,-1,0
118,常青股份,-1,0
119,金麒麟,-1,0
120,世运电路,-1,0
121,武进不锈,-1,0
122,勘设股份,1,-1
123,岱美股份,1,-1
124,杰克股份,1,-1
125,上海银行,1,-1
126,加加食品,-2,0
127,庞大集团,-2,-2
128,海欣食品,-1,1
129,华泰证券,0,0
130,奥飞动漫,1,1
131,华谊兄弟,1,1
132,完美环球,1,1
133,帝龙新材,1,1
134,麦达数字,-2,-1
135,天华超净,-2,0
136,佳都科技,0,0
137,康力电梯,1,1
138,韶钢松山,3,2
139,三毛派神,1,0
140,英洛华,2,0
141,先导智能,2,2
142,天海防务,1,1
143,滨化股份,2,2
144,长生生物,1,1
145,中航机电,1,1
146,大华股份,1,1
147,汇丽B,2,1
148,大化B股,1,1
149,凌云B股,1,1
150,凯马B,1,1
151,国泰君安,0,1
152,新城控股,1,0
153,永辉超市,3,2
154,王府井,2,2
155,家家悦,2,2
156,爱仕达,1,1
157,云南盐化,1,0
158,涪陵榨菜,1,3
159,盾安环境,3,3
160,丽珠集团,2,-1
161,方大炭素,1,1
162,贵州茅台,4,3
163,招商证券,0,0
164,新莱应材,1,3
165,宁波建工,2,3
166,天邦股份,2,2
167,河北宣工,1,1
168,外运发展,1,1
169,中国联通,1,0
170,宋城演艺,1,0
171,百润股份,1,0
172,盛运环保,2,2
173,凯迪电力,1,1
174,达华智能,1,0
175,海康威视,1,0
176,大族激光,1,0
177,恒瑞医药,1,0
178,伊利股份,-1,0
179,老板电器,-1,0
180,保利地产,-1,0
181,辉隆股份,1,2
182,北大荒,3,3
183,牧原股份,5,5
184,温氏股份,5,5
185,隆平高科,4,3
186,正邦科技,3,3
187,大北农,4,3
188,新洋丰,1,1
189,象屿股份,1,1
190,大禹节水,1,1
191,天邦股份,1,1
192,国金证券,0,1
193,中粮生化,1,1
194,登海种业,3,2
195,辉丰股份,1,1
196,扬农化工,1,1
197,隆鑫通用,1,1
198,海通证券,0,1
199,雏鹰农牧,1,1
200,东方通,-1,-1
201,联络互动,-1,0
202,乐视网,-11,-1
203,西部证券,0,0
204,国金证券,0,1
205,兴业证券,0,0
206,华泰证券,0,0
207,彩虹股份,-1,0
208,湖南海利,-1,0
209,保定天鹅,-1,-1
210,德赛电池,-1,-1
211,亿帆医药,0,0
212,汤臣倍健,2,1
