,公司代码,公司简称,公司全称
0,600000,浦发银行,上海浦东发展银行股份有限公司
1,600004,白云机场,广州白云国际机场股份有限公司
2,600006,东风汽车,东风汽车股份有限公司
3,600007,中国国贸,中国国际贸易中心股份有限公司
4,600008,首创股份,北京首创股份有限公司
5,600009,上海机场,上海国际机场股份有限公司
6,600010,包钢股份,内蒙古包钢钢联股份有限公司
7,600011,华能国际,华能国际电力股份有限公司
8,600012,皖通高速,安徽皖通高速公路股份有限公司
9,600015,华夏银行,华夏银行股份有限公司
10,600016,民生银行,中国民生银行股份有限公司
11,600017,日照港,日照港股份有限公司
12,600018,上港集团,上海国际港务（集团）股份有限公司
13,600019,宝钢股份,宝山钢铁股份有限公司
14,600020,中原高速,河南中原高速公路股份有限公司
15,600021,上海电力,上海电力股份有限公司
16,600022,山东钢铁,山东钢铁股份有限公司
17,600023,浙能电力,浙江浙能电力股份有限公司
18,600026,中远海能,中远海运能源运输股份有限公司
19,600027,华电国际,华电国际电力股份有限公司
20,600028,中国石化,中国石油化工股份有限公司
21,600029,南方航空,中国南方航空股份有限公司
22,600030,中信证券,中信证券股份有限公司
23,600031,三一重工,三一重工股份有限公司
24,600033,福建高速,福建发展高速公路股份有限公司
25,600035,楚天高速,湖北楚天高速公路股份有限公司
26,600036,招商银行,招商银行股份有限公司
27,600037,歌华有线,北京歌华有线电视网络股份有限公司
28,600038,中直股份,中航直升机股份有限公司
29,600039,四川路桥,四川路桥建设集团股份有限公司
30,600048,保利地产,保利房地产（集团）股份有限公司
31,600050,中国联通,中国联合网络通信股份有限公司
32,600051,宁波联合,宁波联合集团股份有限公司
33,600052,浙江广厦,浙江广厦股份有限公司
34,600053,九鼎投资,昆吾九鼎投资控股股份有限公司
35,600054,黄山旅游,黄山旅游发展股份有限公司
36,600055,万东医疗,华润万东医疗装备股份有限公司
37,600056,中国医药,中国医药健康产业股份有限公司
38,600057,象屿股份,厦门象屿股份有限公司
39,600058,五矿发展,五矿发展股份有限公司
40,600059,古越龙山,浙江古越龙山绍兴酒股份有限公司
41,600060,海信电器,青岛海信电器股份有限公司
42,600061,国投安信,国投安信股份有限公司
43,600062,华润双鹤,华润双鹤药业股份有限公司
44,600063,皖维高新,安徽皖维高新材料股份有限公司
45,600064,南京高科,南京高科股份有限公司
46,600066,宇通客车,郑州宇通客车股份有限公司
47,600067,冠城大通,冠城大通股份有限公司
48,600068,葛洲坝,中国葛洲坝集团股份有限公司
49,600069,银鸽投资,河南银鸽实业投资股份有限公司
50,600070,浙江富润,浙江富润股份有限公司
51,600071,凤凰光学,凤凰光学股份有限公司
52,600072,钢构工程,中船钢构工程股份有限公司
53,600073,上海梅林,上海梅林正广和股份有限公司
54,600074,保千里,江苏保千里视像科技集团股份有限公司
55,600075,新疆天业,新疆天业股份有限公司
56,600076,康欣新材,康欣新材料股份有限公司
57,600077,宋都股份,宋都基业投资股份有限公司
58,600078,澄星股份,江苏澄星磷化工股份有限公司
59,600079,人福医药,人福医药集团股份公司
60,600080,金花股份,金花企业（集团）股份有限公司
61,600081,东风科技,东风电子科技股份有限公司
62,600082,海泰发展,天津海泰科技发展股份有限公司
63,600083,博信股份,广东博信投资控股股份有限公司
64,600084,中葡股份,中信国安葡萄酒业股份有限公司
65,600085,同仁堂,北京同仁堂股份有限公司
66,600086,东方金钰,东方金钰股份有限公司
67,600089,特变电工,特变电工股份有限公司
68,600091,ST明科,包头明天科技股份有限公司
69,600093,禾嘉股份,四川禾嘉股份有限公司
70,600094,大名城,上海大名城企业股份有限公司
71,600095,哈高科,哈尔滨高科技（集团）股份有限公司
72,600096,云天化,云南云天化股份有限公司
73,600097,开创国际,上海开创国际海洋资源股份有限公司
74,600098,广州发展,广州发展集团股份有限公司
75,600099,林海股份,林海股份有限公司
76,600100,同方股份,同方股份有限公司
77,600101,明星电力,四川明星电力股份有限公司
78,600103,青山纸业,福建省青山纸业股份有限公司
79,600104,上汽集团,上海汽车集团股份有限公司
80,600105,永鼎股份,江苏永鼎股份有限公司
81,600106,重庆路桥,重庆路桥股份有限公司
82,600107,美尔雅,湖北美尔雅股份有限公司
83,600108,亚盛集团,甘肃亚盛实业（集团）股份有限公司
84,600109,国金证券,国金证券股份有限公司
85,600110,诺德股份,诺德投资股份有限公司
86,600111,北方稀土,中国北方稀土（集团）高科技股份有限公司
87,600112,天成控股,贵州长征天成控股股份有限公司
88,600113,浙江东日,浙江东日股份有限公司
89,600114,东睦股份,东睦新材料集团股份有限公司
90,600115,东方航空,中国东方航空股份有限公司
91,600116,三峡水利,重庆三峡水利电力（集团）股份有限公司
92,600117,西宁特钢,西宁特殊钢股份有限公司
93,600118,中国卫星,中国东方红卫星股份有限公司
94,600119,长江投资,长发集团长江投资实业股份有限公司
95,600120,浙江东方,浙江东方集团股份有限公司
96,600121,郑州煤电,郑州煤电股份有限公司
97,600122,宏图高科,江苏宏图高科技股份有限公司
98,600123,兰花科创,山西兰花科技创业股份有限公司
99,600125,铁龙物流,中铁铁龙集装箱物流股份有限公司
100,600126,杭钢股份,杭州钢铁股份有限公司
101,600127,金健米业,金健米业股份有限公司
102,600128,弘业股份,江苏弘业股份有限公司
103,600129,太极集团,重庆太极实业（集团）股份有限公司
104,600130,波导股份,宁波波导股份有限公司
105,600131,岷江水电,四川岷江水利电力股份有限公司
106,600132,重庆啤酒,重庆啤酒股份有限公司
107,600133,东湖高新,武汉东湖高新集团股份有限公司
108,600135,乐凯胶片,乐凯胶片股份有限公司
109,600136,当代明诚,武汉当代明诚文化股份有限公司
110,600137,浪莎股份,四川浪莎控股股份有限公司
111,600138,中青旅,中青旅控股股份有限公司
112,600139,西部资源,四川西部资源控股股份有限公司
113,600141,兴发集团,湖北兴发化工集团股份有限公司
114,600143,金发科技,金发科技股份有限公司
115,600145,*ST新亿,新疆亿路万源实业投资控股股份有限公司
116,600146,商赢环球,商赢环球股份有限公司
117,600148,长春一东,长春一东离合器股份有限公司
118,600149,廊坊发展,廊坊发展股份有限公司
119,600150,中国船舶,中国船舶工业股份有限公司
120,600151,航天机电,上海航天汽车机电股份有限公司
121,600152,维科精华,宁波维科精华集团股份有限公司
122,600153,建发股份,厦门建发股份有限公司
123,600155,宝硕股份,河北宝硕股份有限公司
124,600156,华升股份,湖南华升股份有限公司
125,600157,永泰能源,永泰能源股份有限公司
126,600158,中体产业,中体产业集团股份有限公司
127,600159,大龙地产,北京市大龙伟业房地产开发股份有限公司
128,600160,巨化股份,浙江巨化股份有限公司
129,600161,天坛生物,北京天坛生物制品股份有限公司
130,600162,香江控股,深圳香江控股股份有限公司
131,600163,中闽能源,中闽能源股份有限公司
132,600165,新日恒力,宁夏新日恒力钢丝绳股份有限公司
133,600166,福田汽车,北汽福田汽车股份有限公司
134,600167,联美控股,联美量子股份有限公司
135,600168,武汉控股,武汉三镇实业控股股份有限公司
136,600169,太原重工,太原重工股份有限公司
137,600170,上海建工,上海建工集团股份有限公司
138,600171,上海贝岭,上海贝岭股份有限公司
139,600172,黄河旋风,河南黄河旋风股份有限公司
140,600173,卧龙地产,卧龙地产集团股份有限公司
141,600175,美都能源,美都能源股份有限公司
142,600176,中国巨石,中国巨石股份有限公司
143,600177,雅戈尔,雅戈尔集团股份有限公司
144,600178,东安动力,哈尔滨东安汽车动力股份有限公司
145,600179,安通控股,安通控股股份有限公司
146,600180,瑞茂通,瑞茂通供应链管理股份有限公司
147,600182,S佳通,佳通轮胎股份有限公司
148,600183,生益科技,广东生益科技股份有限公司
149,600184,光电股份,北方光电股份有限公司
150,600185,格力地产,格力地产股份有限公司
151,600186,莲花健康,莲花健康产业集团股份有限公司
152,600187,国中水务,黑龙江国中水务股份有限公司
153,600188,兖州煤业,兖州煤业股份有限公司
154,600189,吉林森工,吉林森林工业股份有限公司
155,600190,锦州港,锦州港股份有限公司
156,600191,华资实业,包头华资实业股份有限公司
157,600192,长城电工,兰州长城电工股份有限公司
158,600193,创兴资源,上海创兴资源开发股份有限公司
159,600195,中牧股份,中牧实业股份有限公司
160,600196,复星医药,上海复星医药（集团）股份有限公司
161,600197,伊力特,新疆伊力特实业股份有限公司
162,600198,大唐电信,大唐电信科技股份有限公司
163,600199,金种子酒,安徽金种子酒业股份有限公司
164,600200,江苏吴中,江苏吴中实业股份有限公司
165,600201,生物股份,金宇生物技术股份有限公司
166,600202,哈空调,哈尔滨空调股份有限公司
167,600203,福日电子,福建福日电子股份有限公司
168,600206,有研新材,有研新材料股份有限公司
169,600207,安彩高科,河南安彩高科股份有限公司
170,600208,新湖中宝,新湖中宝股份有限公司
171,600209,罗顿发展,罗顿发展股份有限公司
172,600210,紫江企业,上海紫江企业集团股份有限公司
173,600211,西藏药业,西藏诺迪康药业股份有限公司
174,600212,*ST江泉,山东江泉实业股份有限公司
175,600213,亚星客车,扬州亚星客车股份有限公司
176,600215,长春经开,长春经开（集团）股份有限公司
177,600216,浙江医药,浙江医药股份有限公司
178,600217,中再资环,中再资源环境股份有限公司
179,600218,全柴动力,安徽全柴动力股份有限公司
180,600219,南山铝业,山东南山铝业股份有限公司
181,600220,江苏阳光,江苏阳光股份有限公司
182,600221,海南航空,海南航空股份有限公司
183,600222,太龙药业,河南太龙药业股份有限公司
184,600223,鲁商置业,鲁商置业股份有限公司
185,600225,天津松江,天津松江股份有限公司
186,600226,升华拜克,浙江升华拜克生物股份有限公司
187,600227,赤天化,贵州赤天化股份有限公司
188,600228,昌九生化,江西昌九生物化工股份有限公司
189,600229,城市传媒,青岛城市传媒股份有限公司
190,600230,*ST沧大,沧州大化股份有限公司
191,600231,凌钢股份,凌源钢铁股份有限公司
192,600232,金鹰股份,浙江金鹰股份有限公司
193,600233,圆通速递,圆通速递股份有限公司
194,600234,广和山水,山西广和山水文化传播股份有限公司
195,600235,民丰特纸,民丰特种纸股份有限公司
