,公司全称,A股代码,A股简称,A股时间,B股代码,B股简称,B股时间,城市
0,上海浦东发展银行股份有限公司,600000,浦发银行,1999-11-10,,,,上海市
1,广州白云国际机场股份有限公司,600004,白云机场,2003-04-28,,,,广东省广州市
2,东风汽车股份有限公司,600006,东风汽车,1999-07-27,,,,湖北省襄阳市
3,中国国际贸易中心股份有限公司,600007,中国国贸,1999-03-12,,,,北京市
4,北京首创股份有限公司,600008,首创股份,2000-04-27,,,,北京市
5,上海国际机场股份有限公司,600009,上海机场,1998-02-18,,,,上海市
6,内蒙古包钢钢联股份有限公司,600010,包钢股份,2001-03-09,,,,内蒙古自治区包头市
7,华能国际电力股份有限公司,600011,华能国际,2001-12-06,,,,北京市
8,安徽皖通高速公路股份有限公司,600012,皖通高速,2003-01-07,,,,安徽省合肥市
9,华夏银行股份有限公司,600015,华夏银行,2003-09-12,,,,北京市
10,中国民生银行股份有限公司,600016,民生银行,2000-12-19,,,,北京市
11,日照港股份有限公司,600017,日照港,2006-10-17,,,,山东省日照市
12,上海国际港务（集团）股份有限公司,600018,上港集团,2000-07-19,,,,上海市
13,宝山钢铁股份有限公司,600019,宝钢股份,2000-12-12,,,,上海市
14,河南中原高速公路股份有限公司,600020,中原高速,2003-08-08,,,,河南省郑州市
15,上海电力股份有限公司,600021,上海电力,2003-10-29,,,,上海市
16,山东钢铁股份有限公司,600022,山东钢铁,2004-06-29,,,,山东省济南市
17,浙江浙能电力股份有限公司,600023,浙能电力,2013-12-19,,,,浙江省杭州市
18,中远海运能源运输股份有限公司,600026,中远海能,2002-05-23,,,,上海市
19,华电国际电力股份有限公司,600027,华电国际,2005-02-03,,,,山东省济南市
20,中国石油化工股份有限公司,600028,中国石化,2001-08-08,,,,北京市
21,中国南方航空股份有限公司,600029,南方航空,2003-07-25,,,,广东省广州市
22,中信证券股份有限公司,600030,中信证券,2003-01-06,,,,广东省深圳市
23,三一重工股份有限公司,600031,三一重工,2003-07-03,,,,北京市
