,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,B股代码,B股简称,B股上市日期,城市
0,000001,平安银行,平安银行股份有限公司,000001,平安银行A,1991年4月3日,,,,广东省深圳市
1,000002,万科,万科企业股份有限公司,000002,万科A,1991年1月29日,200002,万科B,1993年5月28日,广东省深圳市
2,000004,国农科技,深圳中国农大科技股份有限公司,000004,ST国农,1991年1月14日,,,,广东省深圳市
3,000005,世纪星源,深圳世纪星源股份有限公司,000005,世纪星源,1990年12月10日,,,,广东省深圳市
4,000006,深振业,深圳市振业（集团）股份有限公司,000006,深振业A,1992年4月27日,,,,广东省深圳市
5,000007,深达声,深圳市赛格达声股份有限公司,000007,ST达声,1992年4月13日,,,,广东省深圳市
6,000008,宝利来,广东宝利来投资股份有限公司,000008,ST宝利来,1992年5月7日,,,,广东省深圳市
7,000009,中国宝安,中国宝安集团股份有限公司,000009,中国宝安,1991年6月25日,,,,广东省深圳市
8,000010,深华新,深圳市华新股份有限公司,000010,SST华新,1995年10月27日,,,,广东省深圳市
9,000011,深物业,深圳市物业发展（集团）股份有限公司,000011,S*ST物业,1992年3月30日,200011,*ST物业B,1992年3月30日,广东省深圳市
10,000012,南玻集团,中国南玻集团股份有限公司,000012,南玻A,1992年2月28日,200012,南玻B,1992年2月28日,广东省深圳市
11,000014,沙河股份,沙河实业股份有限公司,000014,沙河股份,1992年6月2日,,,,广东省深圳市
12,000016,深康佳,康佳集团股份有限公司,000016,深康佳A,1992年3月27日,200016,深康佳B,1992年3月27日,广东省深圳市
13,000017,深中华,深圳中华自行车（集团）股份有限公司,000017,SST中华,1992年3月31日,200017,ST中华B,1992年3月31日,广东省深圳市
14,000018,深中冠,深圳中冠纺织印染股份有限公司,000018,ST中冠A,1992年6月16日,200018,ST中冠B,1992年6月16日,广东省深圳市
15,000019,深深宝,深圳市深宝实业股份有限公司,000019,深深宝A,1992年10月12日,200019,深深宝B,1992年10月12日,广东省深圳市
16,000020,深华发,深圳中恒华发股份有限公司,000020,ST华发A,1992年4月28日,200020,ST华发B,1992年4月28日,广东省深圳市
17,000021,长城开发,深圳长城开发科技股份有限公司,000021,长城开发,1994年2月2日,,,,广东省深圳市
18,000022,深赤湾,深圳赤湾港航股份有限公司,000022,深赤湾A,1993年5月5日,200022,深赤湾Ｂ,1993年5月5日,广东省深圳市
19,000023,深天地,深圳市天地（集团）股份有限公司,000023,深天地A,1993年4月29日,,,,广东省深圳市
20,000024,招商地产,招商局地产控股股份有限公司,000024,招商地产,1993年6月7日,200024,招商局B,1993年6月7日,广东省深圳市
21,000025,深特力,深圳市特力（集团）股份有限公司,000025,特力A,1993年6月21日,200025,特力B,1993年6月21日,广东省深圳市
22,000026,飞亚达,深圳市飞亚达（集团）股份有限公司,000026,飞亚达A,1993年6月3日,200026,飞亚达B,1993年6月3日,广东省深圳市
23,000027,深能源,深圳能源投资股份有限公司,000027,深圳能源,1993年9月3日,,,,广东省深圳市
24,000028,一致药业,深圳一致药业股份有限公司,000028,一致药业,1993年8月9日,200028,一致B,1993年8月9日,广东省深圳市
25,000029,深房集团,深圳经济特区房地产（集团）股份有限公司,000029,深深房A,1993年9月15日,200029,深深房B,1994年1月10日,广东省深圳市
26,000030,盛润股份,广东盛润集团股份有限公司,000030,S*ST盛润,1993年9月29日,200030,*ST盛润B,1993年9月29日,广东省深圳市
27,000031,中粮地产,中粮地产（集团）股份有限公司,000031,中粮地产,1993年10月8日,,,,广东省深圳市
28,000032,深桑达,深圳市桑达实业股份有限公司,000032,深桑达A,1993年10月28日,,,,广东省深圳市
29,000033,新都酒店,深圳新都酒店股份有限公司,000033,新都酒店,1994年1月3日,,,,广东省深圳市
30,000034,深信泰丰,深圳市深信泰丰（集团）股份有限公司,000034,ST深泰,1994年5月9日,,,,广东省深圳市
31,000035,中国天楹,中国天楹股份有限公司,000035,中国天楹,1994年4月8日,,,,江苏省南通市
32,000036,华联控股,华联控股股份有限公司,000036,华联控股,1994年6月17日,,,,广东省深圳市
33,000037,深南电,深圳南山热电股份有限公司,000037,深南电A,1994年7月1日,200037,深南电B,1994年11月28日,广东省深圳市
34,000038,深大通,深圳大通实业股份有限公司,000038,S*ST大通,1994年8月8日,,,,广东省深圳市
35,000039,中集集团,中国国际海运集装箱（集团）股份有限公司,000039,中集集团,1994年4月8日,200039,中集B,1994年3月23日,广东省深圳市
36,000040,宝安地产,宝安鸿基地产集团股份有限公司,000040,宝安地产,1994年8月8日,,,,广东省深圳市
37,000042,深长城,深圳市长城投资控股股份有限公司,000042,深长城,1994年9月21日,,,,广东省深圳市
38,000043,中航地产,深圳中航地产股份有限公司,000043,中航地产,1994年9月28日,,,,广东省深圳市
39,000045,深纺织,深圳市纺织（集团）股份有限公司,000045,深纺织A,1994年8月15日,200045,深纺织B,1994年8月15日,广东省深圳市
40,000046,泛海建设,泛海建设集团股份有限公司,000046,泛海建设,1994年9月12日,,,,广东省深圳市
41,000048,康达尔,深圳市康达尔（集团）股份有限公司,000048,ST康达尔,1994年11月1日,,,,广东省深圳市
42,000049,德赛电池,深圳市德赛电池科技股份有限公司,000049,德赛电池,1995年3月20日,,,,广东省深圳市
43,000050,天马,天马微电子股份有限公司,000050,深天马A,1995年3月15日,,,,广东省深圳市
44,000055,方大集团,方大集团股份有限公司,000055,方大A,1996年4月15日,200055,方大B,1995年11月29日,广东省深圳市
45,000056,深国商,深圳市国际企业股份有限公司,000056,深国商,1996年7月8日,200056,深国商B,1995年10月30日,广东省深圳市
46,000058,深赛格,深圳赛格股份有限公司,000058,ST赛格,1996年12月26日,200058,ST赛格B,1996年7月22日,广东省深圳市
47,000059,辽通化工,辽宁华锦通达化工股份有限公司,000059,辽通化工,1997年1月30日,,,,辽宁省盘锦市
48,000060,中金岭南,深圳中金岭南有色金属股份有限公司,000060,中金岭南,1997年1月23日,,,,广东省深圳市
49,000061,农产品,深圳市农产品股份有限公司,000061,农产品,1997年1月10日,,,,广东省深圳市
50,000062,深圳华强,深圳华强实业股份有限公司,000062,深圳华强,1997年1月30日,,,,广东省深圳市
51,000063,中兴通讯,中兴通讯股份有限公司,000063,中兴通讯,1997年11月18日,,,,广东省深圳市
52,000065,北方国际,北方国际合作股份有限公司,000065,北方国际,1998年6月5日,,,,北京市
53,000066,长城电脑,中国长城计算机深圳股份有限公司,000066,长城电脑,1997年6月26日,,,,广东省深圳市
54,000068,赛格三星,深圳赛格三星股份有限公司,000068,赛格三星,1997年6月11日,,,,广东省深圳市
55,000069,华侨城,深圳华侨城控股股份有限公司,000069,华侨城A,1997年9月10日,,,,广东省深圳市
56,000070,特发信息,深圳市特发信息股份有限公司,000070,特发信息,2000年5月11日,,,,广东省深圳市
57,000078,海王生物,深圳市海王生物工程股份有限公司,000078,海王生物,1998年12月18日,,,,广东省深圳市
58,000088,盐田港,深圳市盐田港股份有限公司,000088,盐田港,1997年7月28日,,,,广东省深圳市
59,000089,深圳机场,深圳市机场股份有限公司,000089,深圳机场,1998年4月20日,,,,广东省深圳市
60,000090,深天健,深圳市天健（集团）股份有限公司,000090,深天健,1999年7月21日,,,,广东省深圳市
61,000096,广聚能源,深圳市广聚能源股份有限公司,000096,广聚能源,2000年7月24日,,,,广东省深圳市
62,000099,中信海直,中信海洋直升机股份有限公司,000099,中信海直,2000年7月31日,,,,广东省深圳市
63,000100,TCL集团,TCL集团股份有限公司,000100,TCL集团,2004年1月30日,,,,广东省惠州市
