,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,城市
0,002001,新和成,浙江新和成股份有限公司,002001,新和成,2004年6月25日,浙江绍兴市
1,002002,鸿达兴业,鸿达兴业股份有限公司,002002,鸿达兴业,2004年6月25日,江苏扬州市
2,002003,伟星股份,浙江伟星实业发展股份有限公司,002003,伟星股份,2004年6月25日,浙江台州市
3,002004,华邦健康,华邦生命健康股份有限公司,002004,华邦健康,2004年6月25日,重庆市
4,002005,德豪润达,广东德豪润达电气股份有限公司,002005,德豪润达,2004年6月25日,广东珠海市
5,002006,精功科技,浙江精功科技股份有限公司,002006,精功科技,2004年6月25日,浙江绍兴市
6,002007,华兰生物,华兰生物工程股份有限公司,002007,华兰生物,2004年6月25日,河南新乡市
7,002008,大族激光,大族激光科技产业集团股份有限公司,002008,大族激光,2004年6月25日,广东深圳市
8,002009,天奇股份,天奇自动化工程股份有限公司,002009,天奇股份,2004年6月29日,江苏无锡市
9,002010,传化股份,浙江传化股份有限公司,002010,传化股份,2004年6月29日,浙江杭州市
10,002011,盾安环境,浙江盾安人工环境股份有限公司,002011,盾安环境,2004年7月5日,浙江绍兴市
11,002012,凯恩股份,浙江凯恩特种材料股份有限公司,002012,凯恩股份,2004年7月5日,浙江丽水市
12,002013,中航机电,中航工业机电系统股份有限公司,002013,中航机电,2004年7月5日,湖北襄阳市
13,002014,永新股份,黄山永新股份有限公司,002014,永新股份,2004年7月8日,安徽黄山市
14,002015,霞客环保,江苏霞客环保色纺股份有限公司,002015,霞客环保,2004年7月8日,江苏无锡市
15,002016,世荣兆业,广东世荣兆业股份有限公司,002016,世荣兆业,2004年7月8日,广东珠海市
16,002017,东信和平,东信和平科技股份有限公司,002017,东信和平,2004年7月13日,广东珠海市
17,002018,华信国际,安徽华信国际控股股份有限公司,002018,华信国际,2004年7月13日,安徽马鞍山市
18,002019,亿帆鑫富,亿帆鑫富药业股份有限公司,002019,亿帆鑫富,2004年7月13日,安徽合肥市
19,002020,京新药业,浙江京新药业股份有限公司,002020,京新药业,2004年7月15日,浙江绍兴市
20,002021,中捷资源,中捷资源投资股份有限公司,002021,中捷资源,2004年7月15日,浙江台州市
21,002022,科华生物,上海科华生物工程股份有限公司,002022,科华生物,2004年7月21日,上海市
22,002023,海特高新,四川海特高新技术股份有限公司,002023,海特高新,2004年7月21日,四川成都市
23,002024,苏宁云商,苏宁云商集团股份有限公司,002024,苏宁云商,2004年7月21日,江苏南京市
24,002025,航天电器,贵州航天电器股份有限公司,002025,航天电器,2004年7月26日,贵州贵阳市
25,002026,山东威达,山东威达机械股份有限公司,002026,山东威达,2004年7月27日,山东威海市
26,002027,七喜控股,七喜控股股份有限公司,002027,七喜控股,2004年8月4日,广东广州市
27,002028,思源电气,思源电气股份有限公司,002028,思源电气,2004年8月5日,上海市
28,002029,七匹狼,福建七匹狼实业股份有限公司,002029,七匹狼,2004年8月6日,福建泉州市
29,002030,达安基因,中山大学达安基因股份有限公司,002030,达安基因,2004年8月9日,广东广州市
30,002031,巨轮智能,巨轮智能装备股份有限公司,002031,巨轮智能,2004年8月16日,广东揭阳市
31,002032,苏泊尔,浙江苏泊尔股份有限公司,002032,苏泊尔,2004年8月17日,浙江台州市
32,002033,丽江旅游,丽江玉龙旅游股份有限公司,002033,丽江旅游,2004年8月25日,云南丽江地区
33,002034,美欣达,浙江美欣达印染集团股份有限公司,002034,美欣达,2004年8月26日,浙江湖州市
34,002035,华帝股份,华帝股份有限公司,002035,华帝股份,2004年9月1日,广东中山市
35,002036,联创电子,联创电子科技股份有限公司,002036,联创电子,2004年9月3日,浙江宁波市
36,002037,久联发展,贵州久联民爆器材发展股份有限公司,002037,久联发展,2004年9月8日,贵州贵阳市
37,002038,双鹭药业,北京双鹭药业股份有限公司,002038,双鹭药业,2004年9月9日,北京市
38,002039,黔源电力,贵州黔源电力股份有限公司,002039,黔源电力,2005年3月3日,贵州贵阳市
39,002040,南京港,南京港股份有限公司,002040,南京港,2005年3月25日,江苏南京市
40,002041,登海种业,山东登海种业股份有限公司,002041,登海种业,2005年4月18日,山东烟台市
41,002042,华孚色纺,华孚色纺股份有限公司,002042,华孚色纺,2005年4月27日,安徽淮北市
42,002043,兔宝宝,德华兔宝宝装饰新材股份有限公司,002043,兔宝宝,2005年5月10日,浙江湖州市
43,002044,美年健康,美年大健康产业控股股份有限公司,002044,美年健康,2005年5月18日,江苏南通市
44,002045,国光电器,国光电器股份有限公司,002045,国光电器,2005年5月23日,广东广州市
45,002046,轴研科技,洛阳轴研科技股份有限公司,002046,轴研科技,2005年5月26日,河南洛阳市
46,002047,宝鹰股份,深圳市宝鹰建设控股集团股份有限公司,002047,宝鹰股份,2005年5月31日,广东深圳市
47,002048,宁波华翔,宁波华翔电子股份有限公司,002048,宁波华翔,2005年6月3日,浙江宁波市
48,002049,紫光国芯,紫光国芯股份有限公司,002049,紫光国芯,2005年6月6日,河北唐山市
49,002050,三花股份,浙江三花股份有限公司,002050,三花股份,2005年6月7日,浙江绍兴市
50,002051,中工国际,中工国际工程股份有限公司,002051,中工国际,2006年6月19日,北京市
51,002052,同洲电子,深圳市同洲电子股份有限公司,002052,同洲电子,2006年6月27日,广东深圳市
52,002053,云南盐化,云南盐化股份有限公司,002053,云南盐化,2006年6月27日,云南昆明市
53,002054,德美化工,广东德美精细化工股份有限公司,002054,德美化工,2006年7月25日,广东佛山市
54,002055,得润电子,深圳市得润电子股份有限公司,002055,得润电子,2006年7月25日,广东深圳市
55,002056,横店东磁,横店集团东磁股份有限公司,002056,横店东磁,2006年8月2日,浙江金华市
56,002057,中钢天源,中钢集团安徽天源科技股份有限公司,002057,中钢天源,2006年8月2日,安徽马鞍山市
57,002058,威尔泰,上海威尔泰工业自动化股份有限公司,002058,威尔泰,2006年8月2日,上海市
58,002059,云南旅游,云南旅游股份有限公司,002059,云南旅游,2006年8月10日,云南昆明市
59,002060,粤水电,广东水电二局股份有限公司,002060,粤水电,2006年8月10日,广东广州市
60,002061,*ST江化,浙江江山化工股份有限公司,002061,*ST江化,2006年8月16日,浙江衢州市
61,002062,宏润建设,宏润建设集团股份有限公司,002062,宏润建设,2006年8月16日,浙江宁波市
62,002063,远光软件,远光软件股份有限公司,002063,远光软件,2006年8月23日,广东珠海市
63,002064,华峰氨纶,浙江华峰氨纶股份有限公司,002064,华峰氨纶,2006年8月23日,浙江温州市
64,002065,东华软件,东华软件股份公司,002065,东华软件,2006年8月23日,北京市
65,002066,瑞泰科技,瑞泰科技股份有限公司,002066,瑞泰科技,2006年8月23日,北京市
66,002067,景兴纸业,浙江景兴纸业股份有限公司,002067,景兴纸业,2006年9月15日,浙江嘉兴市
67,002068,黑猫股份,江西黑猫炭黑股份有限公司,002068,黑猫股份,2006年9月15日,江西景德镇市
68,002069,獐子岛,獐子岛集团股份有限公司,002069,獐子岛,2006年9月28日,辽宁大连市
69,002070,众和股份,福建众和股份有限公司,002070,众和股份,2006年10月12日,福建莆田市
70,002071,长城影视,长城影视股份有限公司,002071,长城影视,2006年10月12日,江苏苏州市
71,002072,凯瑞德,凯瑞德控股股份有限公司,002072,凯瑞德,2006年10月18日,山东德州市
72,002073,软控股份,软控股份有限公司,002073,软控股份,2006年10月18日,山东青岛市
73,002074,国轩高科,国轩高科股份有限公司,002074,国轩高科,2006年10月18日,江苏南通市
74,002075,沙钢股份,江苏沙钢股份有限公司,002075,沙钢股份,2006年10月25日,江苏苏州市
75,002076,雪莱特,广东雪莱特光电科技股份有限公司,002076,雪莱特,2006年10月25日,广东佛山市
76,002077,大港股份,江苏大港股份有限公司,002077,大港股份,2006年11月16日,江苏镇江市
77,002078,太阳纸业,山东太阳纸业股份有限公司,002078,太阳纸业,2006年11月16日,山东济宁市
78,002079,苏州固锝,苏州固锝电子股份有限公司,002079,苏州固锝,2006年11月16日,江苏苏州市
79,002080,中材科技,中材科技股份有限公司,002080,中材科技,2006年11月20日,江苏南京市
80,002081,金螳螂,苏州金螳螂建筑装饰股份有限公司,002081,金螳螂,2006年11月20日,江苏苏州市
81,002082,栋梁新材,浙江栋梁新材股份有限公司,002082,栋梁新材,2006年11月20日,浙江湖州市
82,002083,孚日股份,孚日集团股份有限公司,002083,孚日股份,2006年11月24日,山东潍坊市
83,002084,海鸥卫浴,广州海鸥卫浴用品股份有限公司,002084,海鸥卫浴,2006年11月24日,广东广州市
84,002085,万丰奥威,浙江万丰奥威汽轮股份有限公司,002085,万丰奥威,2006年11月28日,浙江绍兴市
85,002086,东方海洋,山东东方海洋科技股份有限公司,002086,东方海洋,2006年11月28日,山东烟台市
86,002087,新野纺织,河南新野纺织股份有限公司,002087,新野纺织,2006年11月30日,河南南阳市
87,002088,鲁阳节能,山东鲁阳节能材料股份有限公司,002088,鲁阳节能,2006年11月30日,山东淄博市
88,002089,新海宜,苏州新海宜通信科技股份有限公司,002089,新海宜,2006年11月30日,江苏苏州市
89,002090,金智科技,江苏金智科技股份有限公司,002090,金智科技,2006年12月8日,江苏南京市
90,002091,江苏国泰,江苏国泰国际集团国贸股份有限公司,002091,江苏国泰,2006年12月8日,江苏苏州市
91,002092,中泰化学,新疆中泰化学股份有限公司,002092,中泰化学,2006年12月8日,新疆乌鲁木齐市
92,002093,国脉科技,国脉科技股份有限公司,002093,国脉科技,2006年12月15日,福建福州市
93,002094,青岛金王,青岛金王应用化学股份有限公司,002094,青岛金王,2006年12月15日,山东青岛市
94,002095,生意宝,浙江网盛生意宝股份有限公司,002095,生意宝,2006年12月15日,浙江杭州市
95,002096,南岭民爆,湖南南岭民用爆破器材股份有限公司,002096,南岭民爆,2006年12月22日,湖南永州市
96,002097,山河智能,山河智能装备股份有限公司,002097,山河智能,2006年12月22日,湖南长沙市
97,002098,浔兴股份,福建浔兴拉链科技股份有限公司,002098,浔兴股份,2006年12月22日,福建泉州市
98,002099,海翔药业,浙江海翔药业股份有限公司,002099,海翔药业,2006年12月26日,浙江台州市
99,002100,天康生物,新疆天康畜牧生物技术股份有限公司,002100,天康生物,2006年12月26日,新疆乌鲁木齐市
100,002101,广东鸿图,广东鸿图科技股份有限公司,002101,广东鸿图,2006年12月29日,广东肇庆市
101,002102,冠福股份,福建冠福现代家用股份有限公司,002102,冠福股份,2006年12月29日,福建泉州市
102,002103,广博股份,广博集团股份有限公司,002103,广博股份,2007年1月10日,浙江宁波市
103,002104,恒宝股份,恒宝股份有限公司,002104,恒宝股份,2007年1月10日,江苏镇江市
104,002105,信隆实业,深圳信隆实业股份有限公司,002105,信隆实业,2007年1月12日,广东深圳市
105,002106,莱宝高科,深圳莱宝高科技股份有限公司,002106,莱宝高科,2007年1月12日,广东深圳市
106,002107,沃华医药,山东沃华医药科技股份有限公司,002107,沃华医药,2007年1月24日,山东潍坊市
107,002108,沧州明珠,沧州明珠塑料股份有限公司,002108,沧州明珠,2007年1月24日,河北沧州市
108,002109,*ST兴化,陕西兴化化学股份有限公司,002109,*ST兴化,2007年1月26日,陕西咸阳市
109,002110,三钢闽光,福建三钢闽光股份有限公司,002110,三钢闽光,2007年1月26日,福建三明市
110,002111,威海广泰,威海广泰空港设备股份有限公司,002111,威海广泰,2007年1月26日,山东威海市
111,002112,三变科技,三变科技股份有限公司,002112,三变科技,2007年2月8日,浙江台州市
112,002113,天润控股,湖南天润实业控股股份有限公司,002113,天润控股,2007年2月8日,湖南岳阳市
113,002114,罗平锌电,云南罗平锌电股份有限公司,002114,罗平锌电,2007年2月15日,云南曲靖市
114,002115,三维通信,三维通信股份有限公司,002115,三维通信,2007年2月15日,浙江杭州市
115,002116,中国海诚,中国海诚工程科技股份有限公司,002116,中国海诚,2007年2月15日,上海市
116,002117,东港股份,东港股份有限公司,002117,东港股份,2007年3月2日,山东济南市
117,002118,紫鑫药业,吉林紫鑫药业股份有限公司,002118,紫鑫药业,2007年3月2日,吉林通化市
118,002119,康强电子,宁波康强电子股份有限公司,002119,康强电子,2007年3月2日,浙江宁波市
119,002120,新海股份,宁波新海电气股份有限公司,002120,新海股份,2007年3月6日,浙江宁波市
120,002121,科陆电子,深圳市科陆电子科技股份有限公司,002121,科陆电子,2007年3月6日,广东深圳市
121,002122,天马股份,天马轴承集团股份有限公司,002122,天马股份,2007年3月28日,浙江杭州市
122,002123,荣信股份,荣信电力电子股份有限公司,002123,荣信股份,2007年3月28日,辽宁鞍山市
123,002124,天邦股份,宁波天邦股份有限公司,002124,天邦股份,2007年4月3日,浙江宁波市
124,002125,湘潭电化,湘潭电化科技股份有限公司,002125,湘潭电化,2007年4月3日,湖南湘潭市
125,002126,银轮股份,浙江银轮机械股份有限公司,002126,银轮股份,2007年4月18日,浙江台州市
126,002127,新民科技,江苏新民纺织科技股份有限公司,002127,新民科技,2007年4月18日,江苏苏州市
127,002128,露天煤业,内蒙古霍林河露天煤业股份有限公司,002128,露天煤业,2007年4月18日,内蒙古通辽市
128,002129,中环股份,天津中环半导体股份有限公司,002129,中环股份,2007年4月20日,天津市
129,002130,沃尔核材,深圳市沃尔核材股份有限公司,002130,沃尔核材,2007年4月20日,广东深圳市
130,002131,利欧股份,利欧集团股份有限公司,002131,利欧股份,2007年4月27日,浙江台州市
131,002132,恒星科技,河南恒星科技股份有限公司,002132,恒星科技,2007年4月27日,河南郑州市
132,002133,广宇集团,广宇集团股份有限公司,002133,广宇集团,2007年4月27日,浙江杭州市
133,002134,天津普林,天津普林电路股份有限公司,002134,天津普林,2007年5月16日,天津市
134,002135,东南网架,浙江东南网架股份有限公司,002135,东南网架,2007年5月30日,浙江杭州市
135,002136,安纳达,安徽安纳达钛业股份有限公司,002136,安纳达,2007年5月30日,安徽铜陵市
136,002137,麦达数字,深圳市麦达数字股份有限公司,002137,麦达数字,2007年6月13日,广东深圳市
137,002138,顺络电子,深圳顺络电子股份有限公司,002138,顺络电子,2007年6月13日,广东深圳市
138,002139,拓邦股份,深圳拓邦股份有限公司,002139,拓邦股份,2007年6月29日,广东深圳市
139,002140,东华科技,东华工程科技股份有限公司,002140,东华科技,2007年7月12日,安徽合肥市
140,002141,蓉胜超微,广东蓉胜超微线材股份有限公司,002141,蓉胜超微,2007年7月20日,广东珠海市
141,002142,宁波银行,宁波银行股份有限公司,002142,宁波银行,2007年7月19日,浙江宁波市
142,002143,印纪传媒,印纪娱乐传媒股份有限公司,002143,印纪传媒,2007年7月20日,四川遂宁市
143,002144,宏达高科,宏达高科控股股份有限公司,002144,宏达高科,2007年8月3日,浙江嘉兴市
144,002145,中核钛白,中核华原钛白股份有限公司,002145,中核钛白,2007年8月3日,甘肃嘉峪关市
145,002146,荣盛发展,荣盛房地产发展股份有限公司,002146,荣盛发展,2007年8月8日,河北廊坊市
146,002147,方圆支承,马鞍山方圆回转支承股份有限公司,002147,方圆支承,2007年8月8日,安徽马鞍山市
147,002148,北纬通信,北京北纬通信科技股份有限公司,002148,北纬通信,2007年8月10日,北京市
148,002149,西部材料,西部金属材料股份有限公司,002149,西部材料,2007年8月10日,陕西西安市
