,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,城市
0,300001,特锐德,青岛特锐德电气股份有限公司,300001,特锐德,2009年10月30日,山东青岛市
1,300002,神州泰岳,北京神州泰岳软件股份有限公司,300002,神州泰岳,2009年10月30日,北京市
2,300003,乐普医疗,乐普医疗器械股份有限公司,300003,乐普医疗,2009年10月30日,北京市
3,300004,南风股份,南方风机股份有限公司,300004,南风股份,2009年10月30日,广东佛山市
4,300005,探路者,探路者控股集团股份有限公司,300005,探路者,2009年10月30日,北京市
5,300006,莱美药业,重庆莱美药业股份有限公司,300006,莱美药业,2009年10月30日,重庆市
6,300007,汉威电子,河南汉威电子股份有限公司,300007,汉威电子,2009年10月30日,河南郑州市
7,300008,上海佳豪,上海佳豪船舶工程设计股份有限公司,300008,上海佳豪,2009年10月30日,上海市
8,300009,安科生物,安徽安科生物工程股份有限公司,300009,安科生物,2009年10月30日,安徽合肥市
9,300010,立思辰,北京立思辰科技股份有限公司,300010,立思辰,2009年10月30日,北京市
10,300011,鼎汉技术,北京鼎汉技术股份有限公司,300011,鼎汉技术,2009年10月30日,北京市
11,300012,华测检测,华测检测认证集团股份有限公司,300012,华测检测,2009年10月30日,广东深圳市
12,300013,新宁物流,江苏新宁现代物流股份有限公司,300013,新宁物流,2009年10月30日,江苏苏州市
13,300014,亿纬锂能,惠州亿纬锂能股份有限公司,300014,亿纬锂能,2009年10月30日,广东惠州市
14,300015,爱尔眼科,爱尔眼科医院集团股份有限公司,300015,爱尔眼科,2009年10月30日,湖南长沙市
15,300016,北陆药业,北京北陆药业股份有限公司,300016,北陆药业,2009年10月30日,北京市
16,300017,网宿科技,网宿科技股份有限公司,300017,网宿科技,2009年10月30日,上海市
17,300018,中元华电,武汉中元华电科技股份有限公司,300018,中元华电,2009年10月30日,湖北武汉市
18,300019,硅宝科技,成都硅宝科技股份有限公司,300019,硅宝科技,2009年10月30日,四川成都市
19,300020,银江股份,银江股份有限公司,300020,银江股份,2009年10月30日,浙江杭州市
20,300021,大禹节水,大禹节水集团股份有限公司,300021,大禹节水,2009年10月30日,甘肃酒泉市
21,300022,吉峰农机,吉峰农机连锁股份有限公司,300022,吉峰农机,2009年10月30日,四川成都市
22,300023,宝德股份,西安宝德自动化股份有限公司,300023,宝德股份,2009年10月30日,陕西西安市
23,300024,机器人,沈阳新松机器人自动化股份有限公司,300024,机器人,2009年10月30日,辽宁沈阳市
24,300025,华星创业,杭州华星创业通信技术股份有限公司,300025,华星创业,2009年10月30日,浙江杭州市
25,300026,红日药业,天津红日药业股份有限公司,300026,红日药业,2009年10月30日,天津市
26,300027,华谊兄弟,华谊兄弟传媒股份有限公司,300027,华谊兄弟,2009年10月30日,浙江金华市
27,300028,金亚科技,金亚科技股份有限公司,300028,金亚科技,2009年10月30日,四川成都市
28,300029,天龙光电,江苏华盛天龙光电设备股份有限公司,300029,天龙光电,2009年12月25日,江苏常州市
29,300030,阳普医疗,广州阳普医疗科技股份有限公司,300030,阳普医疗,2009年12月25日,广东广州市
30,300031,宝通科技,无锡宝通科技股份有限公司,300031,宝通科技,2009年12月25日,江苏无锡市
31,300032,金龙机电,金龙机电股份有限公司,300032,金龙机电,2009年12月25日,浙江温州市
32,300033,同花顺,浙江核新同花顺网络信息股份有限公司,300033,同花顺,2009年12月25日,浙江杭州市
33,300034,钢研高纳,北京钢研高纳科技股份有限公司,300034,钢研高纳,2009年12月25日,北京市
34,300035,中科电气,湖南中科电气股份有限公司,300035,中科电气,2009年12月25日,湖南岳阳市
