index,sentence,entity,score
23029,不过，贵人鸟似乎在前期扩张的过程中“用力过猛”，在2014年上市之后，贵人鸟的门店数量开始出现大规模萎缩,贵人鸟,-1
23030,《红周刊》记者翻阅公司2013年至2016年上半年的财报后发现，贵人鸟在国内布局的门店家数一路下滑，已经由2013年时的5560家下滑至2016年上半年的4313家,贵人鸟,-1
23072,数据显示，2016年在单店营收方面，爱居兔同比2015年增加23.76%，男装海澜之家以及海一家分别下跌3.47%和45.79%,海澜之家,-1
23089,'（原标题：长城动漫激进并购却换来业绩大幅下滑，一场赤裸裸的资本游戏,长城动漫,-1
23109,不过，新长城动漫的业绩状况并不好，甚至还在亏损之中,长城动漫,-1
23112,这意味着，亏损的新长城动漫，经过2次辗转，从长城集团手中又卖给了上市公司,长城动漫,-1
23114,但是，长城动漫并不气馁,长城动漫,-1
23124,这意味着，长城集团通过股份质押，借钱给长城动漫的空间也几乎没有了,长城动漫,-1
23125,“目前动漫行业的形势其实是非常好的，长城动漫在这一块可能没有用心去运营,长城动漫,-1
23135,这种“自信”导致了万科股权结构的缺陷，给了资本乘虚而入的机会，但王石并无悔意,万科,-1
23140,在万科广深区首张纪文的短暂开场之后，王石带着讲稿出现在台前,万科,-1
23149,”资金追逐经营稳定、成长性强的上市公司，本是资本市场逐步成熟的表现，但当以职业经理人文化为标志的万科受到外来资本威胁的时候，无法逃避该如何守护公司本身的问题,万科,-1
23150,从在台上的讲话的第35分钟开始，现场主题从环保切换到万科公司的治理以及股权问题上，媒体熟悉的王石原地复活,万科,-1
23158,但这个夜晚他选择为自己和万科正名，“万科是国营出身，后面是混合所有制，万科没有国营企业的作风，能发展成这样很大作用是（发挥了）民营资本（的积极性）,万科,-1
23161,尽管身处这样的变动和不确定中，万科员工有所担心，但也知道应该怎么做,万科,-1
23166,随着恒大(03333.HK)的入场，万科股权争夺战情况之严峻有增无减,万科,-1
23168,11月14日晚间，万科公告称再一次延迟向股东寄发载有发行股票购买深圳地铁集团相关资产方案的通函,万科,-1
23185,似乎是与“猫鼠一家”的指责相呼应，1月19日，银监会公布浦发银行成都分行违规发放贷款案件,浦发银行,-1
23218,“及其一致行动人收购万科是否违规，和前海人寿是否应该合并计算股权，保监会、证监会应该联合监管，给一个明确说法,万科,-1
23222,正如王石所言，万科股权之争并没有真正结束,万科,-1
23236,“宝能及其一致行动人收购万科是否违规，钜盛华和前海人寿是否应该合并计算股权，保监会、证监会应该联合监管，给一个明确说法,万科,-1
23247,2016年年中，因为不满万科引入深铁重组，华润在万科股东大会后公开反对管理层；12月18日，万科公告终止与深铁的重组，理由是部分主要股东反对,万科,-1
23310,据《财经天下》报道，彼时乐视网公司还没有人力资源总监，高飞承担了部分HR的角色,乐视网,-1
23335,'（原标题：爱茉莉太平洋股价暴跌12.7%）\n“萨德”事件的发酵直接影响了韩国旅游，同时，近年来在中国市场收获颇丰的韩工企业也不可避免的受到了波及,太平洋,-1
