index,Unnamed: 0,content,entity,true_score,new_score,raw_score
15,0,'今日开盘后急剧下跌，早盘期间曾一度触及跌停，尾盘随着白马股反弹，三安光电股价跌幅收窄，收盘跌5.96%，报23.18元，成交约21.66亿元,三安光电,-1,-3,-1
112,1,比如对于今年三季度股价暴涨的“妖王”方大炭素，10月份就出现数额较大的净偿还，净偿还额达5.31亿元，10月份方大炭素股价也出现调整，下跌4.65%，股价最多一度较9月底调整近20%,方大炭素,-1,-1,-1
226,2,?新华网图特朗普政府将对中国商品征收高额关税的计划，在国内招致了一片反对声,新华网,0,-1,-1
281,3,而今日盘面显示，白马板块总龙头贵州茅台盘中一度下跌超6%，拖累整个蓝筹股出现调整，这与我们近期预判白马处于调整周期的观点基本一致,贵州茅台,-1,-2,-1
330,4,可是，面对激变的中国婴幼儿乳粉市场，贝因美业绩却一再走低,贝因美,-1,-2,-1
359,5,以为例，公司的产品本身就不愁卖，而且还有很强的产品涨价预期，由于有很强的业绩支撑，因而突发事件对公司股价影响只是短期和暂时性的，在此种情况下，贵州茅台股价如果出现急跌就很可能意味着属于被“错杀”的情形,贵州茅台,1,-1,-1
366,6,其中日月股份的傅明康家族财富缩水了一半，名次较去年下降了1444位，成为中国名次下降最多的富豪,日月股份,-1,-1,-1
410,7,基金君发现，上峰水泥今年上半年股价也一路下跌，表现较差，到了6月份开始反弹，6、7月周期股活跃，该股出现一波凌厉的涨势，但近期又陷入了震荡,上峰水泥,-1,-1,-1
415,8,基金君看了一下，大豪科技流通股比例较低，流通A股占比11.32%，今年上半年股价连续下跌，直到三季度开始止跌反弹，出现一波比较强劲的上涨，但最近总体走势比较起伏,大豪科技,1,-1,-1
433,9,随后，绿景控股也与定增相关认购方解除协议，并和北京市儿科研究所等曾签过合作协议的多家医院终止合作,绿景控股,-1,-1,-1
438,10,这背后，是绿景控股日益下降的主业业绩,绿景控股,-1,1,-1
469,11,居民部门举债拉动了中国经济的第三轮反弹，17年GDP增速回升至6.9%，但是到了17年末，老板电器业绩下滑，说“这不能怪我，是被房地产销量下滑坑了”,老板电器,-1,-1,-1
508,12,'不止是法拉第未来，遭遇董事长请辞的乐视网，也在近期展开了大规模招聘,乐视网,-1,-1,-1
520,13,但在2017年10月，乐视网总经理梁军突然离职,乐视网,-1,-1,-1
525,14,这一语焉不详的全退公告，引发市场广泛猜测，孙宏斌的退出，是否意味着融创系要“愿赌服输”，乐视网将破产重组,乐视网,-1,-1,-1
661,15,小股东不应再盲目从公开的资料看来，目前乐视上市体系乐视网的状况十分艰难，按照孙宏斌的话说，是“日子都过不下去了”,乐视网,-1,-1,-1
671,16,”在某种程度上看，乐视网已然陷入了进退维谷的尴尬局面之中,乐视网,-1,-1,-1
676,17,孙宏斌强调，无论新乐视文娱(原乐视影业)和新乐视智家(原乐视致新)未来的经营前景如何，都与乐视网没有太大关系，不会对乐视网的经营形成正面影响,乐视网,0,-1,-1
759,18,暴风集团由于业绩暴跌、炒作过度等原因，最终还是无法避免走下神坛，至今下跌了90%以上，股价只剩下当初的零头,暴风集团,-1,-1,-1
768,19,这其中贵州茅台大幅下跌最受市场关注，盘中贵州茅台一度下跌逾6%，且成交金额创出年内新高,贵州茅台,-1,-1,-1
774,20,'3月28日，发布公告称，相关媒体报道的云南鸿翔一心堂药业(集团)股份有限公司旗下全资子公司海南鸿翔一心堂医药连锁有限公司涉嫌违规刷医保卡一事属实,一心堂,-1,-1,-1
856,21,“不务正业”的洽洽食品，正在面临来自业绩等多方面的压力,洽洽食品,-1,-1,-1
876,22,不过，洽洽食品多元化的步伐似乎并不顺利，据2016年年报显示，洽洽葵花子的营业收入为35.13亿元；薯片和其他产品的营业收入仅分别为2.12亿元、7.65亿元,洽洽食品,-1,-2,-1
878,23,然而，这并不是洽洽食品在产品多元化道路失败的个例，公开资料显示，洽洽食品在2013年把果冻产品纳入自己新产品名录的同时，在2013年8月19日还收购了江苏小康牛肉酱并且改名为“洽康”,洽洽食品,-1,-1,-1
882,24,如果电商进展困难，那么意味着洽洽食品所谓的多单品、两条腿走路的战略再次受到挑战,洽洽食品,-1,-1,-1
884,25,在业内看来，洽洽食品此前在果冻、牛肉酱等产品上的失败，很大程度上是源于营销方式的滞后,洽洽食品,-1,-1,-1
888,26,朱丹蓬指出，洽洽食品净利润下滑与企业本身的多元化有很大关系，在多元化发展后，企业的资金、资源、经历都被分散，因此利润的下滑在此阶段是必然的,洽洽食品,-1,1,-1
889,27,近两年，洽洽食品由于多元化的发展，在主业上并没有认真经营，虽然在瓜子业务方面是行业老大，但在该产品的业绩提升方面没有发力，多元化方面也并不成功，因此为企业的运营带来了不小的挑战,洽洽食品,-1,-1,-1
894,28,业绩方面，上述5家公司中，除圣农发展中报业绩出现下降外，其余4家公司今年中报业绩均实现增长,圣农发展,-1,-1,-1
912,29,”业绩承压尽管华北制药表示公司董事长频繁变更“与公司生产经营、业绩变动没有关系”，但据记者梳理发现，华北制药近年营业收入连续下降却是不争的事实,华北制药,-1,-1,-1
919,30,而在此前的2016年末，受华北地区“治霾”的影响，华北制药多家公司陷入了一场“停产风波”之中,华北制药,-1,-1,-1
997,31,鹏辉能源跌幅最大，1月以来已累计下跌14.36%,鹏辉能源,-1,-2,-1
1018,32,“提前计提掉了，乐视网再跌，只要不跌破3.9元，基金净值不会受到拖累,乐视网,-1,-1,-1
1052,33,而在遭遇机构及散户低调逃离的背后，海澜之家到底遭遇了怎样的发展困局,海澜之家,-1,1,-1
1060,34,3月21日，海澜之家的下跌之势仍在继续，当日跌幅1.01%,海澜之家,-1,-1,-1
1090,35,尔康制药虚增利润机构、股民欲哭无泪去年11月22日晚间，停牌超过半年的尔康制药对外发布自查报告，对公司涉嫌虚增利润事宜进行说明，并向投资者致歉,尔康制药,-1,-3,-1
1095,36,不止买入国民技术的股民叫苦，定增大王刘益谦也不幸中枪,国民技术,-1,-1,-1
1112,37,华泰证券的经纪业务占公司总营收的比例也在明显下降,华泰证券,-1,1,-1
