,entity,true_score
0,联诚精密,3
1,科创信息,1
2,伊戈尔,1
3,润都股份,1
4,智慧农业,1
5,光大证券,0
6,ST上普,-2
7,上海普天,-4
8,上海普天邮通科技股份有限公司,-1
9,中国国航,1
10,南方航空,1
11,东方航空,1
12,春秋航空,1
13,金冠电气,-3
14,方直科技,-1
15,海南航空,-1
16,雅戈尔,0
17,贵州茅台,1
18,中国平安,1
19,招商证券,0
20,国泰君安,0
21,东北证券,0
22,中信证券,0
23,方大炭素,2
24,智飞生物,1
25,安阳钢铁,1
26,南钢股份,1
27,诚志股份,3
28,索通发展,1
29,南洋科技,1
30,中来股份,1
31,维格娜丝,1
32,创业软件,1
33,重庆钢铁,1
34,金科文化,1
35,先导智能,2
36,飞凯材料,1
37,联得装备,1
38,海达股份,1
39,旭升股份,1
40,澳洋顺昌,1
41,三峡新材,1
42,天成自控,1
43,安徽水利,1
44,千禾味业,1
45,恒力股份,2
46,涪陵榨菜,1
47,华泰股份,1
48,五洲交通,1
49,上海家化,2
50,海量数据,1
51,海天精工,1
52,乐普医疗,3
53,长生生物,1
54,台基股份,1
55,木林森,1
56,航天电子,1
57,山西证券,0
58,桐昆股份,2
59,北新建材,1
60,安琪酵母,1
61,恩华药业,1
62,小天鹅,1
63,大华股份,1
64,东阿阿胶,1
65,国海证券,0
66,大恒科技,0
67,文峰股份,0
68,中国平安,1
69,平安银行,0
70,千山药机,0
71,紫鑫药业,0
72,康芝药业,0
73,泛海控股,0
74,天健集团,0
75,沙钢股份,1
76,长江证券,0
77,兴业证券,0
78,国泰君安,0
79,国金证券,0
80,中信证券,0
81,中国平安,1
82,长安汽车,1
83,泛海控股,1
84,华西股份,1
85,华谊兄弟,1
86,水晶光电,1
87,杉杉股份,1
88,长园集团,1
89,天赐材料,1
90,江苏国泰,1
91,乐心医疗,0
92,时代科技,0
93,ST天化,-11
94,泸天化,-3
95,中百集团,3
96,冀东水泥,6
97,农业银行,2
98,美的电器,2
99,工商银行,2
100,海螺水泥,2
101,信雅达,1
102,阳光城,-1
103,兴发集团,-1
104,蓝科高新,-1
105,三安光电,-1
106,交通银行,0
107,中信银行,-1
108,杭州银行,-1
109,光大证券,0
110,步长制药,-1
111,日月股份,-1
112,天能重工,-1
113,赛托生物,-1
114,三角轮胎,-1
115,博迈科,-1
116,恒林股份,-1
117,华达科技,-1
118,常青股份,-1
119,金麒麟,-1
120,世运电路,-1
121,武进不锈,-1
122,勘设股份,1
123,岱美股份,1
124,杰克股份,1
125,上海银行,1
126,加加食品,-2
127,庞大集团,-2
128,海欣食品,-1
129,华泰证券,0
130,奥飞动漫,1
131,华谊兄弟,1
132,完美环球,1
133,帝龙新材,1
134,麦达数字,-2
135,天华超净,-2
136,佳都科技,0
137,康力电梯,1
138,韶钢松山,3
139,三毛派神,1
140,英洛华,2
141,先导智能,2
142,天海防务,1
143,滨化股份,2
144,长生生物,1
145,中航机电,1
146,大华股份,1
147,汇丽B,2
148,大化B股,1
149,凌云B股,1
150,凯马B,1
151,国泰君安,0
152,新城控股,1
153,永辉超市,3
154,王府井,2
155,家家悦,2
156,爱仕达,1
157,云南盐化,1
158,涪陵榨菜,1
159,盾安环境,3
160,丽珠集团,2
161,方大炭素,1
162,贵州茅台,4
163,招商证券,0
164,新莱应材,1
165,宁波建工,2
166,天邦股份,2
167,河北宣工,1
168,外运发展,1
169,中国联通,1
170,宋城演艺,1
171,百润股份,1
172,盛运环保,2
173,凯迪电力,1
174,达华智能,1
175,海康威视,1
176,大族激光,1
177,恒瑞医药,1
178,伊利股份,-1
179,老板电器,-1
180,保利地产,-1
181,辉隆股份,1
182,北大荒,3
183,牧原股份,5
184,温氏股份,5
185,隆平高科,4
186,正邦科技,3
187,大北农,4
188,新洋丰,1
189,象屿股份,1
190,大禹节水,1
191,天邦股份,1
192,国金证券,0
193,中粮生化,1
194,登海种业,3
195,辉丰股份,1
196,扬农化工,1
197,隆鑫通用,1
198,海通证券,0
199,雏鹰农牧,1
200,东方通,-1
201,联络互动,-1
202,乐视网,-11
203,西部证券,0
204,国金证券,0
205,兴业证券,0
206,华泰证券,0
207,彩虹股份,-1
208,湖南海利,-1
209,保定天鹅,-1
210,德赛电池,-1
211,亿帆医药,0
212,汤臣倍健,2
213,中国北车,0
214,中国中车,1
215,泰禾集团,-2
216,华侨城,1
217,双箭股份,1
218,延华智能,1
219,银邦股份,1
220,中青宝,-1
221,绿景控股,-1
222,鹏欣资源,0
223,明牌珠宝,2
224,海亮股份,2
225,青松股份,0
226,宁波联合,1
227,黔源电力,1
228,准油股份,1
229,国际实业,1
230,金螳螂,-2
231,亚厦股份,1
232,青岛双星,1
233,鑫科材料,0
234,中航飞机,3
235,中航机电,3
236,中航黑豹,0
237,湘电股份,0
238,中国动力,0
239,内蒙一机,0
240,中直股份,0
241,京东方,0
242,永辉超市,0
243,博深工具,1
244,沧州大化,-1
245,北新建材,1
246,云铝股份,1
247,焦作万方,1
248,电科院,3
249,东吴证券,0
250,乐歌股份,1
251,香飘飘,-1
252,广聚能源,1
253,泰山石油,1
254,安控科技,1
255,中国石油,0
256,中信银行,-1
257,工商银行,-1
258,招商银行,-1
259,中国太保,-1
260,中国平安,-1
261,华微电子,1
262,北方华创,1
263,福斯特,1
264,紫光国芯,1
265,兴业证券,0
266,美丽生态,-9
267,深华新,1
268,东软载波,2
269,日照港,1
270,山东路桥,1
271,国泰君安,0
272,苏大维格,1
273,陕国投,2
274,荣之联,1
275,千山药机,1
276,达安基因,1
277,北陆药业,1
278,安信信托,1
279,龙源技术,0
280,正海磁材,0
281,鲁信创投,1
282,温氏股份,0
283,牧原股份,0
284,华泰证券,0
285,中信国安,2
286,天业股份,1
287,巨化股份,5
288,信维通信,1
289,西王食品,1
290,上海新阳,7
291,华侨城,5
292,冠昊生物,2
293,泰禾集团,5
294,新筑股份,6
295,鼎龙股份,4
296,宝新能源,1
297,中海达,1
298,正邦科技,4
299,康得新,1
300,威海广泰,4
301,浙江震元,1
302,中国天楹,3
303,新日恒力,2
304,加加食品,4
305,泰和新材,2
306,山东地矿,1
307,九华旅游,1
308,新华百货,1
309,三力士,1
310,三维丝,1
311,中海科技,1
312,盛路通信,2
313,富安娜,2
314,歌尔声学,1
315,普利特,1
316,元力股份,1
317,创业环保,1
318,京汉股份,1
319,五粮液,1
320,水井坊,1
321,洋河股份,1
322,恒瑞医药,1
323,中国平安,1
324,招商银行,1
325,工商银行,1
326,申万宏源,0
327,宏源证券,0
328,东方证券,0
329,东方证券股份有限公司,0
330,中信证券,0
331,东兴证券,0
332,国泰君安,0
333,国泰君安证券股份有限公司,0
334,海通证券,0
335,安彩高科,1
336,江粉磁材,0
337,安信信托,0
338,陕国投,0
339,万华化学,0
340,复星医药,0
341,歌尔股份,0
342,正海磁材,-1
343,九阳股份,-3
344,首商股份,-1
345,沪电股份,1
346,上峰水泥,1
347,天地科技,1
348,大豪科技,1
349,棕榈股份,3
350,洛阳钼业,3
351,塔牌集团,3
352,碧水源,1
353,蓝色光标,1
354,华谊兄弟,1
355,长信科技,0
356,苏交科,1
357,江苏舜天,2
358,江苏舜天股份有限公司,0
359,用友网络,3
360,普路通,2
361,海虹控股,1
362,兆易创新,1
363,招商银行,2
364,中国平安,1
365,中国太保,1
366,新华保险,1
367,万科,1
368,比亚迪,1
369,保利地产,1
370,金圆股份,1
371,分众传媒,2
372,海康威视,1
373,光线传媒,1
374,中国国旅,1
375,五粮液,2
376,格力电器,1
377,伊利股份,1
378,科士达,1
379,日机密封,1
380,浙江鼎力,1
381,天赐材料,1
382,腾邦国际,1
383,丹邦科技,1
384,大智慧,0
385,东湖高新,5
386,华鑫股份,1
387,沙河股份,3
388,朗科科技,2
389,祥龙电业,1
390,仰帆控股,3
391,威尔泰,2
392,西藏旅游,1
393,万科,1
394,韶能股份,1
395,国农科技,2
396,新华百货,2
397,凤竹纺织,1
398,有研新材,2
399,新世界,1
400,天宸股份,1
401,兴业证券,0
402,万华化学,4
403,潮宏基,4
404,红太阳,2
405,烽火通信,2
406,伊之密,-1
407,网宿科技,4
408,信维通信,-1
409,中信证券,9
410,天兴仪表,2
411,长江证券,2
412,天鹅股份,1
413,国泰君安,0
414,华泰证券,0
415,阳谷华泰,0
416,文科园林,0
417,西部证券,0
418,孚日股份,0
419,金龙汽车,-1
420,祥龙电业,-1
421,中国天楹,-1
422,步长制药,0
423,印纪传媒,0
424,中科曙光,0
425,贝达药业,0
426,云铝股份,0
427,海洋王,0
428,雪莱特,-1
429,联建光电,-1
430,京东方,0
431,方正证券,0
