,entity,true_score
0,华昌达,-4
1,福耀玻璃,3
2,蒙草生态,2
3,国信证券,0
4,中航黑豹,1
5,凯撒旅游,0
6,用友网络,-1
7,民生银行,-1
8,国泰君安,0
9,荣之联,-1
10,华远地产,2
11,比亚迪,1
12,华泰证券,0
13,兴业银行,0
14,金徽酒,-1
15,华金资本,1
16,山东路桥,5
17,中国平安,1
18,九鼎投资,0
19,贝因美,0
20,岱美股份,1
21,中环股份,3
22,新华网,0
23,蓝盾股份,4
24,万科,0
25,贵州茅台,1
26,中航动力,0
27,宁波联合,0
28,凌云股份,1
29,国信证券,0
30,南京银行,0
31,光电股份,0
32,同洲电子,-1
33,长城汽车,-1
34,中百集团,1
35,亨通光电,-1
36,德创环保,0
37,陆家嘴,3
38,科大讯飞,3
39,浙商证券,0
40,上港集团,1
41,光线传媒,0
42,中国中冶,1
43,比亚迪,0
44,软控股份,1
45,中弘股份,0
46,完美世界,-1
47,新华保险,0
48,万科,1
49,广发证券,0
50,广发证券,1
51,广发证券,0
52,中关村,1
53,万科,0
54,招商证券,1
55,中航重机,1
56,万科,1
57,国金证券,0
58,京东方,1
59,江南嘉捷,1
60,陕国投,28
61,吉艾科技,4
62,蓝色光标,1
63,中国联通,0
64,平潭发展,0
65,永辉超市,0
66,白银有色,1
67,湖南黄金,1
68,兴业证券,0
69,万科,-1
70,中信证券,0
71,京东方,3
72,欣泰电气,-1
73,山鼎设计,5
74,东北证券,0
75,君正集团,1
76,国信证券,0
77,中国石油,0
78,北京银行,1
79,ST天成,4
80,特锐德,1
81,康跃科技,1
82,贵州茅台,0
83,冀东装备,1
84,易事特,0
85,中原证券,-3
86,中信证券,0
87,方大特钢,0
88,乐视网,-1
89,万科,0
90,老板电器,-1
91,京东方,2
92,万科,-1
93,昆仑万维,-1
94,汇川技术,1
95,方正证券,-5
96,金杯汽车,1
97,玲珑轮胎,1
